,open,close,high,low,volume,money
2020-05-25,80.6,80.95,81.73,80.05,19936839.0,1612062894.17
2020-05-26,80.65,81.5,81.9,80.26,21137100.0,1715356621.69
2020-05-27,81.13,79.87,81.13,78.41,31144212.0,2473825775.28
2020-05-28,79.71,78.5,79.93,77.33,23191684.0,1821259568.92
2020-05-29,78.1,78.7,79.35,77.8,17318968.0,1364918181.11
2020-06-01,79.8,80.22,80.8,79.59,26148402.0,2101270421.57
2020-06-02,80.27,80.4,80.6,79.53,17609319.0,1410531584.59
2020-06-03,80.66,80.17,80.79,79.9,20953771.0,1681758206.13
2020-06-04,80.58,81.2,81.26,79.91,20979792.0,1692441923.73
2020-06-05,81.2,82.3,82.32,80.42,18578931.0,1515416332.98
2020-06-08,82.52,80.3,82.69,79.68,33038299.0,2666552970.44
2020-06-09,80.3,82.97,83.0,80.3,35269985.0,2896055338.93
2020-06-10,83.01,84.54,85.5,82.54,31912487.0,2688996820.59
2020-06-11,84.35,84.46,85.36,83.58,22117862.0,1868953181.42
2020-06-12,83.11,85.84,85.85,83.11,23395844.0,1985845994.38
2020-06-15,85.1,84.24,86.6,84.08,25478188.0,2163193925.85
2020-06-16,85.1,87.14,87.61,84.58,27428615.0,2370702141.01
2020-06-17,87.3,89.65,90.05,87.15,33127401.0,2947855891.59
2020-06-18,89.6,89.3,89.96,87.58,21487640.0,1906117604.07
2020-06-19,89.5,92.98,93.32,89.3,33448503.0,3084702032.97
2020-06-22,92.9,93.23,95.41,92.2,29277781.0,2742046490.72
2020-06-23,92.27,94.5,94.5,92.0,25453060.0,2382353716.28
2020-06-24,94.0,92.95,94.4,92.03,31091258.0,2883479437.47
2020-06-29,92.4,92.23,93.44,91.4,27130570.0,2496861137.01
2020-06-30,92.88,92.3,93.6,91.75,25766883.0,2381145837.46
2020-07-01,92.4,91.05,92.56,89.31,42068046.0,3806871754.66
2020-07-02,90.98,91.2,91.75,90.0,34527121.0,3133501053.87
2020-07-03,91.32,91.88,92.0,90.5,29910749.0,2732248763.69
2020-07-06,92.0,93.13,93.4,91.15,49652811.0,4586141609.24
2020-07-07,93.47,97.29,98.22,92.95,47494422.0,4572860843.02
2020-07-08,97.97,97.06,99.76,96.06,35871041.0,3498289572.39
2020-07-09,97.1,98.51,99.22,96.61,28267464.0,2775336379.22
2020-07-10,98.6,99.35,100.41,98.05,29397609.0,2930401053.97
2020-07-13,99.58,99.82,100.88,99.05,32371508.0,3235758046.22
2020-07-14,99.8,98.43,99.8,97.0,33226294.0,3260726004.29
2020-07-15,99.9,102.99,105.0,99.06,47889951.0,4911463743.86
2020-07-16,103.3,96.35,104.16,96.26,47557446.0,4706824225.5
2020-07-17,95.91,96.33,97.88,95.0,36663152.0,3529785170.08
2020-07-20,96.46,96.49,97.58,94.22,25636138.0,2454392145.06
2020-07-21,97.4,99.3,99.98,96.48,32418857.0,3203921896.29
2020-07-22,98.99,99.37,101.06,97.47,30127609.0,3007068767.89
2020-07-23,98.81,99.37,100.88,98.0,34555635.0,3430336195.82
2020-07-24,98.11,94.79,98.79,94.0,44416020.0,4253626820.5
2020-07-27,94.78,95.39,96.96,94.49,24982911.0,2383712808.65
2020-07-28,95.4,94.6,96.21,94.2,28520240.0,2708493906.56
2020-07-29,94.24,95.85,96.38,94.0,26603673.0,2540596894.72
2020-07-30,95.86,94.97,96.29,94.61,27299645.0,2602558977.22
2020-07-31,94.87,94.38,95.48,91.84,56003417.0,5254218157.35
2020-08-03,92.7,93.2,93.74,91.5,63997843.0,5931855418.74
2020-08-04,93.5,93.98,95.82,93.45,40738507.0,3857608925.8
2020-08-05,93.89,92.79,94.11,92.39,38311496.0,3559444303.84
2020-08-06,93.01,91.0,93.29,90.51,47749704.0,4363187157.19
2020-08-07,91.3,91.2,91.97,89.52,32988293.0,2987964692.05
2020-08-10,91.32,90.79,91.59,89.73,28793948.0,2612249558.15
2020-08-11,91.47,91.78,93.12,91.2,35084274.0,3240241662.36
2020-08-12,91.78,90.01,92.17,89.0,35333873.0,3175711818.63
2020-08-13,90.93,88.88,90.93,88.8,26385812.0,2357707889.19
2020-08-14,88.98,89.5,89.8,87.97,24237505.0,2154357299.51
2020-08-17,89.98,90.9,91.49,89.18,34367679.0,3104127440.2
2020-08-18,91.2,93.4,94.66,91.2,44929068.0,4198792291.53
2020-08-19,93.8,92.73,94.86,92.52,32770393.0,3077103786.0
2020-08-20,92.73,91.7,93.34,91.2,20311418.0,1869239760.88
2020-08-21,93.09,91.8,93.65,90.8,20566890.0,1892059475.83
2020-08-24,92.98,92.42,93.0,91.65,17743332.0,1641506973.91
2020-08-25,92.99,93.99,94.65,92.8,24979223.0,2347765538.61
2020-08-26,94.03,94.58,95.94,93.7,26872296.0,2551454994.78
2020-08-27,94.58,94.11,94.88,92.59,21309961.0,1994485346.04
2020-08-28,93.3,95.39,95.5,92.91,28154810.0,2663680871.22
2020-08-31,95.8,94.87,96.55,94.71,27298621.0,2617730528.47
2020-09-01,94.49,93.99,95.55,93.34,20966934.0,1973872645.48
2020-09-02,95.0,94.7,95.0,92.61,27340726.0,2571096454.12
2020-09-03,94.7,95.0,95.88,93.88,19690813.0,1871630212.31
2020-09-04,93.88,93.51,94.3,92.37,25446452.0,2370058028.16
2020-09-07,93.0,91.6,93.79,91.5,23396558.0,2161112124.97
2020-09-08,91.62,92.33,92.89,91.2,20517584.0,1891551098.0
2020-09-09,91.54,90.3,92.07,89.5,21080286.0,1913411105.44
2020-09-10,91.5,90.74,91.96,90.31,16264843.0,1482657248.4
2020-09-11,89.6,91.81,92.26,89.6,18338984.0,1671006198.62
2020-09-14,92.1,91.36,92.38,91.32,15482417.0,1422039461.71
2020-09-15,91.3,91.1,91.33,90.02,14888131.0,1351095829.37
2020-09-16,91.4,89.74,91.9,89.6,19517128.0,1759609150.7
2020-09-17,89.08,86.29,89.64,86.0,42304512.0,3676808556.99
2020-09-18,86.4,88.98,88.98,86.22,29771727.0,2604300143.63
2020-09-21,88.8,88.5,89.46,87.75,16829813.0,1492692224.45
2020-09-22,88.0,89.3,90.1,87.99,20494047.0,1833962324.84
2020-09-23,89.45,89.84,90.5,88.85,15519478.0,1395971893.8
2020-09-24,89.55,87.86,89.55,87.3,17302734.0,1524073590.29
2020-09-25,88.3,88.45,88.62,87.35,14111275.0,1241797263.93
2020-09-28,88.49,88.58,89.57,88.11,14568491.0,1293975166.0
2020-09-29,89.28,89.89,90.4,88.9,17781446.0,1597437967.93
2020-09-30,90.39,89.82,91.98,89.5,23431595.0,2128600261.01
2020-10-09,92.0,91.95,92.44,90.85,19576069.0,1796369484.18
2020-10-12,92.39,94.2,94.3,92.38,24602019.0,2303160320.13
2020-10-13,94.2,93.7,94.69,93.11,18696358.0,1754510426.27
2020-10-14,93.49,93.0,94.07,92.76,21090034.0,1967489716.17
2020-10-15,93.0,93.16,93.65,92.56,17803479.0,1658769729.85
2020-10-16,93.96,93.1,94.2,92.12,17650217.0,1643256678.14
2020-10-19,93.68,91.52,94.0,91.11,20715934.0,1913343152.07
2020-10-20,91.39,91.01,91.52,89.66,22296671.0,2021368413.03
2020-10-21,91.02,89.58,91.2,89.01,28833596.0,2585180268.59
2020-10-22,89.54,89.56,89.56,88.5,16152915.0,1438790907.45
2020-10-23,89.56,88.15,89.86,88.08,14591235.0,1296443334.83
2020-10-26,88.1,89.18,89.54,87.6,12543186.0,1114391280.77
2020-10-27,89.16,89.23,89.75,88.31,15240954.0,1360018209.2
2020-10-28,89.23,91.36,92.0,88.51,26026402.0,2360524351.51
2020-10-29,90.69,91.04,92.0,89.8,23852181.0,2170210898.94
2020-10-30,91.16,88.84,91.39,88.33,30349103.0,2707793124.28
2020-11-02,88.58,89.23,89.5,87.8,21413650.0,1897108219.91
2020-11-03,89.43,90.15,90.43,89.01,19629973.0,1762618071.34
2020-11-04,90.19,90.17,90.5,89.58,13972554.0,1258240944.24
2020-11-05,91.38,91.2,92.2,90.66,18090590.0,1652154724.58
2020-11-06,91.7,88.89,91.79,88.0,31976190.0,2851289083.77
2020-11-09,89.08,89.37,89.94,88.61,31485323.0,2809943996.85
2020-11-10,89.6,87.95,89.84,87.67,30041295.0,2656505957.03
2020-11-11,87.95,86.17,87.95,85.9,35104352.0,3030086197.44
2020-11-12,86.5,86.55,87.17,86.2,19516210.0,1693198276.36
2020-11-13,86.6,85.5,86.74,85.18,29442048.0,2515636747.02
2020-11-16,86.1,85.63,86.35,84.94,20385759.0,1741000257.54
2020-11-17,85.64,85.53,85.83,84.9,21569611.0,1840888134.02
2020-11-18,85.55,86.61,87.28,85.55,24068842.0,2086505921.81
2020-11-19,87.0,87.3,87.6,86.5,18016863.0,1570090301.91
2020-11-20,87.3,86.91,87.68,86.67,17163436.0,1494494229.12
2020-11-23,86.91,86.12,87.0,85.0,32883846.0,2812155513.76
2020-11-24,86.11,87.17,87.21,85.53,23837757.0,2060373704.03
2020-11-25,87.17,86.13,87.33,85.9,20023759.0,1731392435.62
2020-11-26,86.79,86.0,86.96,85.09,15607166.0,1340917680.52
2020-11-27,85.88,86.95,86.99,85.03,16213830.0,1398744579.85
2020-11-30,86.7,85.99,87.5,85.99,24193447.0,2096641064.15
2020-12-01,86.29,87.61,87.88,86.15,24535327.0,2140841785.27
2020-12-02,87.81,87.53,87.88,86.97,15966299.0,1396299716.38
2020-12-03,87.8,89.99,90.1,87.62,32178913.0,2876193235.38
2020-12-04,89.89,91.32,91.5,89.5,30179714.0,2741646542.61
2020-12-07,91.78,89.88,91.78,89.31,23991175.0,2159562314.38
2020-12-08,90.76,90.07,90.79,89.7,14561320.0,1313065803.96
2020-12-09,90.66,88.24,90.66,88.13,22385526.0,1989629038.03
2020-12-10,88.0,89.0,89.7,87.58,17235143.0,1534308953.5
2020-12-11,89.6,89.5,90.83,88.6,25901207.0,2326177765.34
2020-12-14,89.02,90.11,90.39,88.03,17885762.0,1608695420.61
2020-12-15,90.12,97.02,97.29,90.12,77154520.0,7378730118.86
2020-12-16,97.08,97.01,97.88,95.58,41062517.0,3982147118.35
2020-12-17,102.0,105.18,106.71,101.01,90387543.0,9495304071.84
2020-12-18,105.81,105.66,107.45,104.42,46382065.0,4920007083.77
2020-12-21,105.75,107.86,108.58,104.88,36973577.0,3961393647.58
2020-12-22,107.8,106.2,108.98,106.0,28483648.0,3053487975.38
2020-12-23,107.39,106.0,108.15,105.35,29896625.0,3188306595.34
2020-12-24,106.5,108.8,111.11,106.11,28333437.0,3099032240.99
2020-12-25,108.82,115.01,116.5,108.5,32433038.0,3706407247.31
2020-12-28,116.0,111.0,116.45,110.0,39434048.0,4419219610.84
2020-12-29,111.82,108.28,112.63,106.05,37797534.0,4096371020.08
2020-12-30,108.98,112.7,113.39,108.8,36217122.0,4048968057.38
2020-12-31,112.55,111.46,112.66,110.01,28156885.0,3139202856.13
2021-01-04,111.99,111.2,113.69,111.0,36342265.0,4072713008.88
2021-01-05,111.2,113.23,116.66,111.19,41762795.0,4763614447.21
2021-01-06,113.25,113.72,115.87,112.0,28370017.0,3219508645.84
2021-01-07,114.86,115.0,115.0,111.8,32927605.0,3720602728.46
2021-01-08,115.12,113.22,116.87,112.15,30767605.0,3499188266.53
2021-01-11,112.32,111.3,114.15,110.0,27201138.0,3055535865.38
2021-01-12,111.29,114.1,114.52,110.0,28638791.0,3236967861.43
2021-01-13,114.01,112.57,114.49,111.62,23771906.0,2677656700.23
2021-01-14,112.57,110.18,112.93,108.6,30041617.0,3321158495.04
2021-01-15,111.5,109.83,111.5,108.01,24707098.0,2712379686.59
2021-01-18,109.03,107.83,110.34,107.39,23513196.0,2543706267.59
2021-01-19,108.5,104.95,108.5,104.28,34814227.0,3676873517.54
2021-01-20,105.9,105.97,107.53,105.0,30502727.0,3235274871.62
2021-01-21,106.0,108.15,108.8,105.38,38293455.0,4101405936.64
2021-01-22,107.96,112.6,113.0,107.11,41130799.0,4580183779.9
2021-01-25,112.78,111.45,113.63,109.5,38794449.0,4327402199.21
2021-01-26,110.55,107.0,111.28,106.75,33976100.0,3679207532.19
2021-01-27,107.7,106.62,108.18,105.5,23027045.0,2461916682.18
2021-01-28,106.55,104.66,107.99,103.38,28273748.0,2965224339.25
2021-01-29,104.25,103.76,105.12,101.01,32727553.0,3368922622.79
2021-02-01,102.46,102.55,104.09,101.0,25076609.0,2572231369.06
2021-02-02,103.71,106.0,107.0,102.05,31194628.0,3291860650.58
2021-02-03,105.94,105.0,106.95,104.52,21573569.0,2279848995.17
2021-02-04,104.0,102.8,104.4,101.51,28548211.0,2932116080.15
2021-02-05,103.95,107.3,108.29,102.5,38071174.0,4059241107.64
2021-02-08,107.31,106.28,109.35,105.85,37346791.0,4011442131.31
2021-02-09,107.75,109.74,110.82,105.8,34134561.0,3712038166.67
2021-02-10,109.2,109.2,110.75,107.12,34364524.0,3755577137.7
2021-02-18,111.4,104.9,111.4,104.5,45041564.0,4802022748.36
2021-02-19,104.57,105.16,105.78,102.81,28656349.0,2988179675.3
2021-02-22,106.4,100.01,106.4,100.0,45626045.0,4647867286.1
2021-02-23,99.34,100.7,101.96,99.0,25488864.0,2561642243.15
2021-02-24,100.99,99.7,101.0,98.6,31780663.0,3169255795.2
2021-02-25,100.0,101.05,102.24,99.15,31609719.0,3175504051.94
2021-02-26,99.01,101.8,103.66,99.01,34996366.0,3573877073.42
2021-03-01,102.8,100.31,102.8,99.31,30533938.0,3058360107.41
2021-03-02,100.31,98.35,100.81,97.5,30420574.0,3009376809.79
2021-03-03,98.5,101.35,101.48,97.54,26463184.0,2649105245.27
2021-03-04,100.18,100.5,101.35,98.59,25083124.0,2509954478.36
2021-03-05,98.52,100.3,101.13,98.49,22836325.0,2277798364.55
2021-03-08,100.71,92.12,101.55,91.7,46204335.0,4407903275.64
2021-03-09,92.88,91.78,94.69,89.39,42965618.0,3970887713.57
2021-03-10,93.99,93.4,94.53,92.54,24213415.0,2265100247.99
2021-03-11,93.99,93.48,94.88,92.5,27251641.0,2554052750.27
2021-03-12,94.5,92.19,95.3,91.58,22917855.0,2127934278.83
2021-03-15,91.13,89.59,92.05,88.57,30124408.0,2702706980.6
2021-03-16,90.5,89.19,90.78,88.1,24041967.0,2142583645.37
2021-03-17,89.2,88.62,89.76,87.58,25086337.0,2221734363.26
2021-03-18,89.01,89.21,90.49,88.3,31112751.0,2776569675.53
2021-03-19,88.0,88.05,88.94,87.2,22450145.0,1979612740.22
2021-03-22,88.05,88.11,90.29,87.6,25482696.0,2255795600.31
2021-03-23,87.06,87.65,88.45,87.01,24346543.0,2130891334.31
2021-03-24,87.65,86.52,88.2,85.75,20113520.0,1747979556.2
2021-03-25,85.7,87.23,87.87,85.09,21735235.0,1886763645.12
2021-03-26,87.59,91.22,92.1,87.39,37823439.0,3422124863.6
2021-03-29,91.3,90.53,91.9,90.13,24964210.0,2272148834.51
2021-03-30,90.36,93.6,93.68,90.0,29635571.0,2732047808.61
2021-03-31,93.21,92.09,93.21,91.01,18805139.0,1730748830.96
2021-04-01,91.6,93.85,94.5,91.6,19276029.0,1807448031.58
2021-04-02,94.0,92.68,94.84,91.88,19798510.0,1840689780.15
2021-04-06,92.4,90.9,92.43,90.66,16978496.0,1546041596.14
2021-04-07,91.2,90.68,91.3,89.74,16907148.0,1524879347.25
2021-04-08,90.3,92.44,92.85,89.7,18476140.0,1697072602.54
2021-04-09,93.0,91.2,93.2,90.5,17988909.0,1640481242.72
2021-04-12,90.85,89.53,91.98,88.88,21344389.0,1919193023.64
2021-04-13,89.39,88.98,90.3,87.66,22380889.0,1988503417.0
2021-04-14,89.45,85.52,89.45,82.22,92249094.0,7812080554.88
2021-04-15,84.52,82.18,84.58,82.06,59868383.0,4973531360.16
2021-04-16,82.35,80.62,82.35,79.31,52880632.0,4248106020.08
2021-04-19,80.7,82.09,82.21,79.5,52961773.0,4297304579.05
2021-04-20,81.89,80.31,81.89,79.4,74240523.0,5955990598.85
2021-04-21,80.19,83.18,83.36,79.61,68809652.0,5641888383.13
2021-04-22,82.68,82.2,82.9,81.8,36850361.0,3026890530.23
2021-04-23,82.9,83.0,83.98,82.0,46863794.0,3890314474.85
2021-04-26,83.18,81.52,84.57,81.38,54247271.0,4504099657.73
2021-04-27,81.54,83.05,83.18,80.85,33601174.0,2772491253.98
2021-04-28,83.1,82.86,83.38,81.9,27164736.0,2237534282.42
2021-04-29,82.99,82.35,83.1,81.8,31753562.0,2613342979.05
2021-04-30,83.0,84.1,85.3,82.41,51336941.0,4313992973.38
2021-05-06,84.1,82.12,85.3,82.01,42144800.0,3516693111.19
2021-05-07,82.12,79.99,82.35,79.99,37105386.0,2992772699.45
2021-05-10,79.9,80.33,80.88,78.01,25316123.0,2018887218.13
2021-05-11,79.5,83.71,83.8,79.35,38798673.0,3187696920.36
2021-05-12,83.63,83.18,83.94,82.5,24346250.0,2023942844.71
2021-05-13,82.62,81.73,82.91,81.13,24759101.0,2022298798.61
2021-05-14,82.31,83.83,84.2,81.41,34737829.0,2898254768.36
2021-05-17,84.4,85.38,86.65,84.36,35822871.0,3070196387.79
2021-05-18,85.4,85.73,86.34,84.54,19155165.0,1634106462.23
2021-05-19,85.7,85.05,85.7,84.5,16714716.0,1419469459.92
2021-05-20,85.17,83.71,85.34,83.3,34717475.0,2914466328.66
2021-05-21,84.05,82.17,85.25,82.0,36626620.0,3052830936.14
